host,neighboraddress,timestamp,vrf,lastchange,peer_as,sessionstate,prefixesreceived,prefixaccepted,prefixsent,peergroups,neighborinfo,DeviceType
d14x98anru2.network.microsoft.com,172.199.160.247,11:54.1,default,27:45.1,,ESTABLISHED,0,0,0,corp-tor-v4,d14x98an5ub,TS
d14x98anru2.network.microsoft.com,172.199.160.55,11:54.1,default,51:59.0,,ESTABLISHED,0,0,0,corp-tsl-v4,d14x98anrz2,TS
d14x98an51b.network.microsoft.com,199.33.62.0,11:54.1,default,18:03.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb1,NS_TOR
d14x98an51b.network.microsoft.com,2ff1:110:3040:1::8d,11:54.1,default,18:04.6,,ESTABLISHED,0,0,2,corp-ts-v6,d14x98anru2,NS_TOR
d14x98an51b.network.microsoft.com,2ff1:110:3040:1::85,11:54.1,default,18:03.3,,ESTABLISHED,0,36,0,corp-ts-v6,d14x98anru1,NS_TOR
d14x98anruo.network.microsoft.com,199.33.62.1,11:54.2,default,48:24.9,,ESTABLISHED,,,,evpz-bl,d14x98anrb2,NS_TOR
d14x98anruo.network.microsoft.com,199.33.62.3,11:54.2,default,48:24.9,,ESTABLISHED,,,,evpz-bl,d14x98anrb4,NS_TOR
d14x98anruo.network.microsoft.com,2ff1:110:3040:1::f9,11:54.2,default,48:25.2,,ESTABLISHED,0,0,0,corp-ts-v6,d14x98anru2,NS_TOR
d14x98anruo.network.microsoft.com,199.33.62.2,11:54.2,default,48:24.9,,ESTABLISHED,,,,evpz-bl,d14x98anrb3,NS_TOR
d14x98anruo.network.microsoft.com,172.199.160.116,11:54.2,default,48:24.3,,ESTABLISHED,56,56,0,corp-ts-v4,d14x98anru2,NS_TOR
d14x98anruo.network.microsoft.com,2ff1:110:3040:1::f1,11:54.2,default,48:25.0,,ESTABLISHED,0,0,2,corp-ts-v6,d14x98anru1,NS_TOR
d14x98anruo.network.microsoft.com,172.199.160.112,11:54.2,default,48:23.9,,ESTABLISHED,56,56,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anruo.network.microsoft.com,199.33.62.0,11:54.2,default,48:25.0,,ESTABLISHED,,,,evpz-bl,d14x98anrb1,NS_TOR
d14x98anruk.network.microsoft.com,199.33.62.2,11:54.2,default,00:06.8,,ACTIVE,0,0,0,evpz-bl,d14x98anrb3,NS_TOR
d14x98anruk.network.microsoft.com,199.33.62.1,11:54.2,default,00:06.8,,ACTIVE,0,0,0,evpz-bl,d14x98anrb2,NS_TOR
d14x98anruk.network.microsoft.com,172.199.160.96,11:54.2,default,00:07.2,,IDLE,0,0,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anruk.network.microsoft.com,2ff1:110:3040:1::d1,11:54.2,default,00:06.4,,IDLE,0,0,0,corp-ts-v6,d14x98anru1,NS_TOR
d14x98anruk.network.microsoft.com,2ff1:110:3040:1::d9,11:54.2,default,00:06.2,,IDLE,0,0,0,corp-ts-v6,d14x98anru2,NS_TOR
d14x98anruk.network.microsoft.com,199.33.62.3,11:54.2,default,00:06.8,,ACTIVE,0,0,0,evpz-bl,d14x98anrb4,NS_TOR
d14x98anruk.network.microsoft.com,199.33.62.0,11:54.2,default,00:07.0,,ACTIVE,0,0,0,evpz-bl,d14x98anrb1,NS_TOR
d14x98anruk.network.microsoft.com,172.199.160.100,11:54.4,default,00:06.6,,IDLE,0,0,0,corp-ts-v4,d14x98anru2,NS_TOR
d14x98anrb2.network.microsoft.com,199.252.11.34,11:54.9,inetfe,45:19.9,,ESTABLISHED,0,1,0,inetfe-wan-v4,d14x98ca950,BL
d14x98anrb2.network.microsoft.com,2ff1:110:b000:2::15,11:54.9,inetfe,45:21.0,,ESTABLISHED,1,0,1,inetfe-wan-v6,d14x98ca951,BL
d14x98anrb2.network.microsoft.com,2ff1:110:b000:2::5,11:54.9,inetfe,45:21.0,,ESTABLISHED,0,0,0,inetfe-wan-v6,d14x98ca950,BL
d14x98anrb2.network.microsoft.com,199.205.6.234,11:54.9,az-be,45:20.0,,ESTABLISHED,0,0,0,az-be-wan-v4,d14x98ca951,BL
d14x98anrb2.network.microsoft.com,199.205.6.226,11:54.9,az-be,45:18.7,,ESTABLISHED,42,0,0,az-be-wan-v4,d14x98ca950,BL
d14x98anrb2.network.microsoft.com,2ff1:110:5800:4::35,11:54.9,az-be,45:21.0,,ESTABLISHED,0,0,0,az-be-wan-v6,d14x98ca951,BL
d14x98anrb2.network.microsoft.com,199.252.11.42,11:54.9,inetfe,45:19.7,,ESTABLISHED,0,0,0,inetfe-wan-v4,d14x98ca951,BL
d14x98anrb2.network.microsoft.com,2ff1:110:5800:4::25,11:54.9,az-be,45:20.9,,ESTABLISHED,0,0,0,az-be-wan-v6,d14x98ca950,BL
